"Batch"	"oldName"	"subject"	"method"	"sample_type"	"con_bac"	"bac_load"	"con_human"	"host_load"	"total_load"
"1"	"batch13"	"OPH33_R"	"HZ33"	"R"	"OP"	14321.833	8593099.522	4599.208	2759524.858	11352624.38
"2"	"batch12"	"OPH30_R"	"HZ30"	"R"	"OP"	5531.505	3318903.093	2734.701	1640820.744	4959723.837
"3"	"batch8"	"BAL29_RM"	"LG29"	"RM"	"BALF"	4478.269	2686961.178	2481.077	1488646.016	4175607.195
"4"	"batch13"	"OPH33_RM"	"HZ33"	"RM"	"OP"	4158.758	2495254.629	44.613	26767.872	2522022.501
"5"	"Batch10"	"OPH20_R"	"HZ20"	"R"	"OP"	3406.905	2044143.121	2221.815	1333089.105	3377232.227
"6"	"batch13"	"OPH34_R"	"HZ34"	"R"	"OP"	2782.011	1669206.819	712.87	427722.046	2096928.865
"7"	"batch13"	"OPH33_P"	"HZ33"	"P"	"OP"	2708.148	1624888.684	222.523	133513.964	1758402.648
"8"	"batch13"	"OPH32_RM"	"HZ32"	"RM"	"OP"	2692.287	1615371.95	81.018	48610.821	1663982.771
"9"	"batch12"	"OPH30_RM"	"HZ30"	"RM"	"OP"	2612.351	1567410.687	171.012	102607.415	1670018.103
"10"	"batch12"	"OPH30_P"	"HZ30"	"P"	"OP"	2585.68	1551408.209	58.575	35145.093	1586553.303
"11"	"batch13"	"OPH33_F"	"HZ33"	"Fil"	"OP"	2357.926	1391562.687	18.847	11122.878	1402685.566
"12"	"batch13"	"OPH33_W"	"HZ33"	"W"	"OP"	2032.914	1219748.233	18.681	11208.524	1230956.757
"13"	"batch12"	"OPH30_W"	"HZ30"	"W"	"OP"	1428.212	856927.27	38.365	23019.026	879946.296
"14"	"batch7"	"BAL25_R"	"LG25"	"R"	"BALF"	1283.047	769828.121	567070.761	340242456.575	341012284.696
"15"	"batch11"	"OPL25_R"	"LG25"	"R"	"OP"	1189.308	713584.767	8868.115	5320868.891	6034453.658
"16"	"batch13"	"OPH33_S"	"HZ33"	"S"	"OP"	1182.322	709393.059	0	0	709393.059
"17"	"batch13"	"OPH33_M"	"HZ33"	"M"	"OP"	1045.216	627129.596	14.424	8654.547	635784.143
"18"	"Batch9"	"OPL17_R"	"LG17"	"R"	"OP"	1041.153	624691.678	469.291	281574.35	906266.028
"19"	"batch7"	"BAL26_R"	"LG26"	"R"	"BALF"	1029.286	617571.56	144242.943	86545765.657	87163337.216
"20"	"batch7"	"BAL25_P"	"LG25"	"P"	"BALF"	1009.324	605594.174	469419.344	281651606.21	282257200.384
"21"	"batch8"	"BAL29_R"	"LG29"	"R"	"BALF"	851.585	510951.019	59971.016	35982609.553	36493560.572
"22"	"batch13"	"OPH31_R"	"HZ31"	"R"	"OP"	792.716	475629.522	4557.346	2734407.602	3210037.125
"23"	"Batch2"	"OPL07_R"	"LG07"	"R"	"OP"	587.619	352571.682	455.639	273383.255	625954.936
