"subject"	"species"	"strain_num_OP"	"strain_num_BA"	"strain_overlap_num"	"OP>BA"	"OP<BA"	"reads_BALF"	"reads_OP"	"reads_BALF_un"	"reads_OP_un"
"1"	"HZ31"	"Acinetobacter.baumannii"	2	2	1	0	0	23411051	56394529	296811	664443
"2"	"HZ31"	"Enterococcus.faecium"	2	1	1	1	0	1652	99232	894	47516
"7"	"HZ31"	"Rothia.mucilaginosa"	1	0	0	1	0	0	2974	20	3007
"14"	"HZ21"	"Enterococcus.faecium"	3	2	1	1	0	171772	26839420	84922	12969920
"22"	"HZ21"	"Veillonella.atypica"	1	0	0	1	0	88	51058	84	45369
"23"	"HZ21"	"Veillonella.dispar"	1	0	0	1	0	376	132426	296	105797
"24"	"HZ21"	"Veillonella.parvula"	4	1	1	1	0	16865	11173643	13821	9617097
"26"	"LG28"	"Enterococcus.faecium"	0	1	0	0	1	3253	121	477	1034
"27"	"LG28"	"Haemophilus.parainfluenzae"	1	0	0	1	0	0	10827	27	9292
"30"	"LG28"	"Prevotella.nigrescens"	0	1	0	0	1	4582	0	2806	503
"31"	"LG28"	"Rothia.mucilaginosa"	1	0	0	1	0	300	13561	288	14261
"32"	"LG28"	"Schaalia.odontolytica"	1	0	0	1	0	10901	263568	10014	164000
"36"	"LG28"	"Veillonella.parvula"	1	5	1	0	1	43635	226721	36774	180380
"39"	"HZ33"	"Haemophilus.parainfluenzae"	3	2	2	1	0	986492	3030235	812233	2575820
"41"	"HZ33"	"Prevotella.melaninogenica"	4	3	3	1	0	272009	1269260	239134	1108059
"42"	"HZ33"	"Prevotella.nigrescens"	4	3	3	1	0	157543	1706714	63550	632508
"43"	"HZ33"	"Rothia.mucilaginosa"	1	1	1	0	0	597791	7501920	589673	7419689
"44"	"HZ33"	"Schaalia.odontolytica"	2	2	2	0	0	454745	2293620	419048	2017659
"45"	"HZ33"	"Streptococcus.oralis"	4	3	3	1	0	188570	604440	30705	130456
"46"	"HZ33"	"Veillonella.atypica"	2	0	0	1	0	242127	1796426	166923	1102704
"47"	"HZ33"	"Veillonella.dispar"	1	0	0	1	0	34900	378260	17248	155321
"48"	"HZ33"	"Veillonella.parvula"	3	2	2	1	0	132802	817002	79355	418886
"51"	"HZ34"	"Haemophilus.parainfluenzae"	1	1	1	0	0	108878	294669	92119	245177
"52"	"HZ34"	"Mycoplasma.pneumoniae"	0	1	0	0	1	1122	0	1128	0
"53"	"HZ34"	"Prevotella.melaninogenica"	1	1	1	0	0	1523738	1863566	1170405	1404109
"55"	"HZ34"	"Rothia.mucilaginosa"	5	2	2	1	0	7587191	35039398	7509152	34623665
"56"	"HZ34"	"Schaalia.odontolytica"	1	1	1	0	0	170800	979891	161910	952964
"60"	"HZ34"	"Veillonella.parvula"	3	0	0	1	0	618272	1150937	233946	459048
"63"	"LG02"	"Haemophilus.parainfluenzae"	3	1	1	1	0	174020	5619391	142936	4712995
"65"	"LG02"	"Prevotella.melaninogenica"	4	0	0	1	0	1612	3815496	1284	3451643
"67"	"LG02"	"Rothia.mucilaginosa"	2	2	2	0	0	6807	6087129	6738	6007761
"68"	"LG02"	"Schaalia.odontolytica"	1	0	0	1	0	278	1360616	247	1225956
"71"	"LG02"	"Veillonella.dispar"	0	2	0	0	1	3022	1653574	1057	601272
"72"	"LG02"	"Veillonella.parvula"	2	1	1	1	0	6346	1071350	2770	490539
"75"	"LG03"	"Haemophilus.parainfluenzae"	1	1	0	0	0	62815	105922	53905	90675
"77"	"LG03"	"Prevotella.melaninogenica"	1	1	1	0	0	103052	262527	93285	238211
"79"	"LG03"	"Rothia.mucilaginosa"	1	1	1	0	0	1401335	3070105	1383273	3023473
"82"	"LG03"	"Veillonella.atypica"	2	2	2	0	0	569572	2047768	415867	1446599
"83"	"LG03"	"Veillonella.dispar"	2	2	2	0	0	423951	1260919	228107	621274
"84"	"LG03"	"Veillonella.parvula"	3	5	3	0	1	919930	485631	589586	296705
"87"	"LG04"	"Haemophilus.parainfluenzae"	1	1	1	0	0	3162761	1772359	2588014	1475077
"88"	"LG04"	"Mycoplasma.pneumoniae"	0	1	0	0	1	2506	0	2561	0
"89"	"LG04"	"Prevotella.melaninogenica"	1	2	1	0	1	1551159	1323692	1319912	1169540
"91"	"LG04"	"Rothia.mucilaginosa"	0	1	0	0	1	16025	9607	15434	9093
"94"	"LG04"	"Veillonella.atypica"	2	2	2	0	0	744761	2320584	550413	1940859
