"subject"	"species"	"sample_type"	"Freq"
"6"	"HZ31"	"Acinetobacter.baumannii"	"BA"	2
"36"	"HZ21"	"Enterococcus.faecium"	"BA"	2
"40"	"HZ31"	"Enterococcus.faecium"	"BA"	1
"67"	"LG28"	"Enterococcus.faecium"	"BA"	1
"76"	"HZ33"	"Haemophilus.parainfluenzae"	"BA"	2
"77"	"HZ34"	"Haemophilus.parainfluenzae"	"BA"	1
"82"	"LG02"	"Haemophilus.parainfluenzae"	"BA"	1
"83"	"LG03"	"Haemophilus.parainfluenzae"	"BA"	1
"84"	"LG04"	"Haemophilus.parainfluenzae"	"BA"	1
"85"	"LG05"	"Haemophilus.parainfluenzae"	"BA"	1
"86"	"LG07"	"Haemophilus.parainfluenzae"	"BA"	1
"87"	"LG09"	"Haemophilus.parainfluenzae"	"BA"	2
"88"	"LG10"	"Haemophilus.parainfluenzae"	"BA"	2
"90"	"LG12"	"Haemophilus.parainfluenzae"	"BA"	2
"92"	"LG14"	"Haemophilus.parainfluenzae"	"BA"	1
"93"	"LG15"	"Haemophilus.parainfluenzae"	"BA"	1
"96"	"LG19"	"Haemophilus.parainfluenzae"	"BA"	2
"97"	"LG24"	"Haemophilus.parainfluenzae"	"BA"	2
"98"	"LG25"	"Haemophilus.parainfluenzae"	"BA"	2
"100"	"LG27"	"Haemophilus.parainfluenzae"	"BA"	1
"111"	"HZ34"	"Mycoplasma.pneumoniae"	"BA"	1
"118"	"LG04"	"Mycoplasma.pneumoniae"	"BA"	1
"121"	"LG09"	"Mycoplasma.pneumoniae"	"BA"	1
"122"	"LG10"	"Mycoplasma.pneumoniae"	"BA"	2
"124"	"LG12"	"Mycoplasma.pneumoniae"	"BA"	1
"126"	"LG14"	"Mycoplasma.pneumoniae"	"BA"	1
"128"	"LG16"	"Mycoplasma.pneumoniae"	"BA"	1
"129"	"LG17"	"Mycoplasma.pneumoniae"	"BA"	1
"131"	"LG24"	"Mycoplasma.pneumoniae"	"BA"	1
"133"	"LG26"	"Mycoplasma.pneumoniae"	"BA"	2
"140"	"HZ23"	"Prevotella.melaninogenica"	"BA"	1
"141"	"HZ30"	"Prevotella.melaninogenica"	"BA"	2
"144"	"HZ33"	"Prevotella.melaninogenica"	"BA"	3
"145"	"HZ34"	"Prevotella.melaninogenica"	"BA"	1
"151"	"LG03"	"Prevotella.melaninogenica"	"BA"	1
"152"	"LG04"	"Prevotella.melaninogenica"	"BA"	2
"153"	"LG05"	"Prevotella.melaninogenica"	"BA"	2
"155"	"LG09"	"Prevotella.melaninogenica"	"BA"	2
"156"	"LG10"	"Prevotella.melaninogenica"	"BA"	2
"159"	"LG13"	"Prevotella.melaninogenica"	"BA"	2
"160"	"LG14"	"Prevotella.melaninogenica"	"BA"	1
"161"	"LG15"	"Prevotella.melaninogenica"	"BA"	3
"163"	"LG17"	"Prevotella.melaninogenica"	"BA"	1
"164"	"LG19"	"Prevotella.melaninogenica"	"BA"	1
"165"	"LG24"	"Prevotella.melaninogenica"	"BA"	2
"166"	"LG25"	"Prevotella.melaninogenica"	"BA"	1
"178"	"HZ33"	"Prevotella.nigrescens"	"BA"	3
"187"	"LG05"	"Prevotella.nigrescens"	"BA"	1
"203"	"LG28"	"Prevotella.nigrescens"	"BA"	1
"205"	"HZ20"	"Rothia.mucilaginosa"	"BA"	1
"207"	"HZ22"	"Rothia.mucilaginosa"	"BA"	2
"209"	"HZ30"	"Rothia.mucilaginosa"	"BA"	2
"212"	"HZ33"	"Rothia.mucilaginosa"	"BA"	1
"213"	"HZ34"	"Rothia.mucilaginosa"	"BA"	2
"215"	"HZ36"	"Rothia.mucilaginosa"	"BA"	1
"216"	"HZ37"	"Rothia.mucilaginosa"	"BA"	1
"218"	"LG02"	"Rothia.mucilaginosa"	"BA"	2
"219"	"LG03"	"Rothia.mucilaginosa"	"BA"	1
"220"	"LG04"	"Rothia.mucilaginosa"	"BA"	1
"221"	"LG05"	"Rothia.mucilaginosa"	"BA"	2
"222"	"LG07"	"Rothia.mucilaginosa"	"BA"	2
"223"	"LG09"	"Rothia.mucilaginosa"	"BA"	2
"225"	"LG11"	"Rothia.mucilaginosa"	"BA"	1
"226"	"LG12"	"Rothia.mucilaginosa"	"BA"	2
"227"	"LG13"	"Rothia.mucilaginosa"	"BA"	1
"228"	"LG14"	"Rothia.mucilaginosa"	"BA"	2
"229"	"LG15"	"Rothia.mucilaginosa"	"BA"	1
"231"	"LG17"	"Rothia.mucilaginosa"	"BA"	1
"233"	"LG24"	"Rothia.mucilaginosa"	"BA"	1
"234"	"LG25"	"Rothia.mucilaginosa"	"BA"	1
"239"	"HZ20"	"Schaalia.odontolytica"	"BA"	2
"241"	"HZ22"	"Schaalia.odontolytica"	"BA"	1
"242"	"HZ23"	"Schaalia.odontolytica"	"BA"	2
"246"	"HZ33"	"Schaalia.odontolytica"	"BA"	2
"247"	"HZ34"	"Schaalia.odontolytica"	"BA"	1
"251"	"LG01"	"Schaalia.odontolytica"	"BA"	1
"255"	"LG05"	"Schaalia.odontolytica"	"BA"	1
"256"	"LG07"	"Schaalia.odontolytica"	"BA"	1
"257"	"LG09"	"Schaalia.odontolytica"	"BA"	1
"258"	"LG10"	"Schaalia.odontolytica"	"BA"	2
